epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,79.8255,0.51431,0.40793,1.34563,0.96042,0.96429,0.97546,0.96547,0.29393,0.38298,1.09754,0.0015842,0.0015842,0.0015842
44,81.8478,0.4661,0.38567,1.26298,0.96389,0.98214,0.9732,0.95301,0.32967,0.34747,1.23713,0.0015743,0.0015743,0.0015743
45,83.8666,0.51011,0.4147,1.38374,0.96397,0.98214,0.97293,0.95142,0.3497,0.3584,1.24141,0.0015644,0.0015644,0.0015644
46,85.8657,0.46247,0.39296,1.28681,0.96486,0.98066,0.9715,0.95423,0.30519,0.36407,1.24474,0.0015545,0.0015545,0.0015545
47,87.896,0.46089,0.35865,1.27447,0.96382,0.98214,0.97195,0.94852,0.34017,0.36006,1.2508,0.0015446,0.0015446,0.0015446
48,89.8985,0.51204,0.3792,1.34568,0.95884,0.96429,0.97194,0.94966,0.34323,0.35123,1.17822,0.0015347,0.0015347,0.0015347
49,91.8504,0.45459,0.34483,1.25994,0.9625,0.98214,0.98193,0.97037,0.31023,0.32847,1.14544,0.0015248,0.0015248,0.0015248
50,93.8222,0.42992,0.32717,1.18089,0.96384,0.98214,0.98285,0.96734,0.33232,0.32592,1.11794,0.0015149,0.0015149,0.0015149
51,95.8645,0.47945,0.36227,1.26614,0.94626,0.96429,0.9718,0.95982,0.33079,0.34837,1.10933,0.001505,0.001505,0.001505
52,97.9362,0.46341,0.34203,1.26755,0.96397,0.98214,0.98085,0.97184,0.31867,0.34776,1.28579,0.0014951,0.0014951,0.0014951
53,99.9916,0.42419,0.35121,1.20077,0.959,0.98214,0.97627,0.9639,0.34284,0.36162,1.29196,0.0014852,0.0014852,0.0014852
54,101.881,0.44679,0.38535,1.29032,0.94697,0.98214,0.97321,0.95597,0.32105,0.35502,1.21324,0.0014753,0.0014753,0.0014753
55,103.96,0.44793,0.35806,1.24641,0.96405,0.98214,0.97392,0.95085,0.32586,0.35311,1.17328,0.0014654,0.0014654,0.0014654
56,105.986,0.42147,0.36238,1.23425,0.96396,0.98214,0.97308,0.92104,0.35653,0.35866,1.12539,0.0014555,0.0014555,0.0014555
57,107.994,0.43686,0.35427,1.22709,0.96361,0.98214,0.97551,0.96435,0.28828,0.34519,1.09315,0.0014456,0.0014456,0.0014456
58,109.992,0.4205,0.34621,1.19806,0.94859,0.98214,0.97504,0.96631,0.29774,0.34962,1.09279,0.0014357,0.0014357,0.0014357
59,112.049,0.47402,0.35881,1.31891,0.95158,0.98214,0.9771,0.96839,0.30375,0.32743,1.09531,0.0014258,0.0014258,0.0014258
60,114.008,0.44436,0.35875,1.29202,0.96471,0.97641,0.98087,0.97471,0.30434,0.32566,1.13207,0.0014159,0.0014159,0.0014159
61,115.965,0.46268,0.36483,1.29476,0.96477,0.97811,0.98143,0.97088,0.31606,0.32482,1.09406,0.001406,0.001406,0.001406
62,118.065,0.46892,0.37074,1.24429,0.96224,0.98214,0.97994,0.96657,0.31526,0.33501,1.10245,0.0013961,0.0013961,0.0013961
63,120.103,0.43506,0.34308,1.26678,0.9626,0.98214,0.97974,0.97118,0.28966,0.3407,1.08812,0.0013862,0.0013862,0.0013862
64,122.031,0.44986,0.35352,1.22337,0.96254,0.98214,0.97808,0.9721,0.30074,0.33705,1.09978,0.0013763,0.0013763,0.0013763
65,123.984,0.47542,0.36331,1.23274,0.9638,0.98214,0.97686,0.96885,0.30195,0.34881,1.08991,0.0013664,0.0013664,0.0013664
66,125.856,0.40665,0.33505,1.19073,0.96377,0.98214,0.97547,0.95708,0.31717,0.35244,1.10139,0.0013565,0.0013565,0.0013565
67,127.741,0.45084,0.36295,1.25526,0.96312,0.98214,0.97285,0.95993,0.29807,0.34112,1.08902,0.0013466,0.0013466,0.0013466
68,129.627,0.41718,0.34679,1.22444,0.96489,0.98145,0.96969,0.96443,0.2868,0.33659,1.11828,0.0013367,0.0013367,0.0013367
69,131.503,0.40996,0.341,1.19336,0.96145,0.98214,0.96726,0.96131,0.28,0.31825,1.14646,0.0013268,0.0013268,0.0013268
70,133.385,0.46667,0.36197,1.2868,0.9638,0.98214,0.96739,0.95667,0.26775,0.32078,1.11881,0.0013169,0.0013169,0.0013169
71,135.295,0.46077,0.36853,1.23181,0.96327,0.98214,0.97282,0.96489,0.31044,0.33293,1.0687,0.001307,0.001307,0.001307
72,137.349,0.4032,0.33204,1.16598,0.96333,0.98214,0.97727,0.96606,0.29991,0.32894,1.07175,0.0012971,0.0012971,0.0012971
73,139.42,0.48042,0.37602,1.2856,0.96341,0.98214,0.98064,0.96081,0.29047,0.33802,1.08816,0.0012872,0.0012872,0.0012872
74,141.291,0.40206,0.33434,1.26833,0.96491,0.98214,0.97876,0.9667,0.29331,0.3178,1.11852,0.0012773,0.0012773,0.0012773
75,143.203,0.44742,0.36122,1.22455,0.96552,1,0.9832,0.97102,0.28319,0.30398,1.19994,0.0012674,0.0012674,0.0012674
76,145.122,0.40305,0.33165,1.22516,0.96437,1,0.98066,0.96509,0.30175,0.28906,1.12715,0.0012575,0.0012575,0.0012575
77,147.063,0.44502,0.36438,1.24282,0.96476,1,0.98047,0.96747,0.31955,0.30095,1.1153,0.0012476,0.0012476,0.0012476
78,148.978,0.43436,0.35367,1.22134,0.96323,1,0.9808,0.96341,0.31311,0.29573,1.10269,0.0012377,0.0012377,0.0012377
79,150.904,0.44904,0.382,1.24419,0.96421,1,0.97783,0.9669,0.27324,0.28793,1.0946,0.0012278,0.0012278,0.0012278
80,152.801,0.44136,0.3484,1.20734,0.9647,1,0.97563,0.96329,0.27861,0.28122,1.09373,0.0012179,0.0012179,0.0012179
81,154.736,0.45566,0.3664,1.26307,0.96482,0.9794,0.97468,0.96232,0.26736,0.29635,1.12914,0.001208,0.001208,0.001208
82,156.832,0.41473,0.33613,1.22542,0.96483,0.97992,0.97508,0.95386,0.27183,0.30971,1.13937,0.0011981,0.0011981,0.0011981
83,158.903,0.42638,0.3311,1.19244,0.96366,0.98214,0.97272,0.95506,0.28116,0.31899,1.06126,0.0011882,0.0011882,0.0011882
84,160.81,0.42386,0.34226,1.2152,0.96435,0.98214,0.97747,0.96948,0.26874,0.32958,1.11391,0.0011783,0.0011783,0.0011783
85,162.724,0.40224,0.3293,1.20255,0.96437,0.98214,0.9816,0.97451,0.27055,0.34184,1.10513,0.0011684,0.0011684,0.0011684
86,164.622,0.39193,0.33223,1.18657,0.96444,0.98214,0.98247,0.97195,0.2721,0.3503,1.08223,0.0011585,0.0011585,0.0011585
87,166.531,0.4615,0.3801,1.23646,0.96387,0.98214,0.98383,0.9785,0.27234,0.34145,1.06208,0.0011486,0.0011486,0.0011486
