epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,94.7362,0.44727,0.35889,1.35931,0.96326,0.98214,0.977,0.96908,0.26121,0.29512,1.08124,0.0015842,0.0015842,0.0015842
44,97.1354,0.40738,0.34545,1.25912,0.96353,0.98214,0.97058,0.96464,0.27925,0.28798,1.10257,0.0015743,0.0015743,0.0015743
45,99.5868,0.46647,0.37242,1.36561,0.96545,0.998,0.97041,0.9645,0.28288,0.28472,1.08014,0.0015644,0.0015644,0.0015644
46,101.904,0.45117,0.36779,1.30536,0.96537,0.99566,0.97309,0.96049,0.31453,0.2941,1.05994,0.0015545,0.0015545,0.0015545
47,104.3,0.42675,0.35662,1.27638,0.96548,0.9989,0.97686,0.96809,0.27757,0.29811,1.06213,0.0015446,0.0015446,0.0015446
48,106.733,0.45959,0.35876,1.36089,0.96549,1,0.97806,0.96502,0.29822,0.28206,1.06814,0.0015347,0.0015347,0.0015347
49,109.134,0.41401,0.32144,1.23625,0.96411,0.98214,0.97673,0.97029,0.27004,0.29742,1.08757,0.0015248,0.0015248,0.0015248
50,111.499,0.39644,0.30828,1.20048,0.96491,0.9821,0.98047,0.97608,0.28027,0.31699,1.09181,0.0015149,0.0015149,0.0015149
51,114.02,0.44136,0.33194,1.2841,0.96488,0.98117,0.98053,0.97463,0.28017,0.34059,1.08099,0.001505,0.001505,0.001505
52,116.411,0.43511,0.3271,1.25633,0.96322,0.96429,0.96976,0.96422,0.28775,0.38333,1.08432,0.0014951,0.0014951,0.0014951
53,118.782,0.38811,0.33023,1.18247,0.96323,0.96429,0.97068,0.96535,0.2873,0.38403,1.07488,0.0014852,0.0014852,0.0014852
54,121.148,0.4189,0.34753,1.29331,0.96488,0.98109,0.97939,0.96811,0.29125,0.36344,1.07824,0.0014753,0.0014753,0.0014753
55,123.525,0.40237,0.34116,1.26163,0.96488,0.98118,0.9792,0.97458,0.29267,0.36718,1.07919,0.0014654,0.0014654,0.0014654
56,125.921,0.41879,0.34038,1.25903,0.96491,0.98214,0.97996,0.96829,0.28628,0.36106,1.08045,0.0014555,0.0014555,0.0014555
57,128.338,0.40667,0.3337,1.23766,0.96458,0.98214,0.97174,0.96704,0.28428,0.36741,1.07149,0.0014456,0.0014456,0.0014456
58,130.684,0.39034,0.31154,1.23236,0.94915,1,0.97472,0.97076,0.27613,0.30588,1.12898,0.0014357,0.0014357,0.0014357
59,133.165,0.43261,0.33931,1.32282,0.94823,1,0.97546,0.96979,0.2706,0.29142,1.17455,0.0014258,0.0014258,0.0014258
60,135.558,0.42103,0.34068,1.29002,0.96477,1,0.98169,0.97562,0.27187,0.28107,1.18032,0.0014159,0.0014159,0.0014159
61,137.907,0.43008,0.34714,1.29957,0.96359,1,0.98057,0.97474,0.26078,0.27664,1.15199,0.001406,0.001406,0.001406
62,140.273,0.42751,0.34258,1.25344,0.96352,1,0.97974,0.97451,0.26675,0.2767,1.15345,0.0013961,0.0013961,0.0013961
63,142.673,0.39314,0.32091,1.24452,0.96427,1,0.98113,0.97579,0.27775,0.28903,1.12287,0.0013862,0.0013862,0.0013862
64,145.092,0.42093,0.33478,1.23531,0.96467,1,0.98185,0.97425,0.28208,0.28826,1.12071,0.0013763,0.0013763,0.0013763
65,147.454,0.41078,0.33402,1.25115,0.96429,1,0.98204,0.97854,0.26077,0.29277,1.11296,0.0013664,0.0013664,0.0013664
66,149.813,0.35467,0.2994,1.21844,0.96549,0.99933,0.98131,0.97643,0.27077,0.2992,1.10111,0.0013565,0.0013565,0.0013565
67,152.26,0.41841,0.33655,1.2482,0.96548,0.99876,0.97955,0.97263,0.26774,0.30377,1.12292,0.0013466,0.0013466,0.0013466
68,154.745,0.38943,0.31729,1.2633,0.96548,0.99876,0.97891,0.97715,0.26479,0.29661,1.10033,0.0013367,0.0013367,0.0013367
69,157.082,0.38345,0.31978,1.22061,0.96547,0.9986,0.97541,0.97196,0.26805,0.3011,1.03063,0.0013268,0.0013268,0.0013268
70,159.43,0.43461,0.34379,1.28996,0.96547,0.99871,0.97388,0.96942,0.25509,0.2956,1.02458,0.0013169,0.0013169,0.0013169
71,161.823,0.40884,0.34164,1.26699,0.96488,0.98122,0.97628,0.96856,0.26354,0.31743,1.02806,0.001307,0.001307,0.001307
72,164.172,0.36523,0.31011,1.20404,0.96332,0.96429,0.96626,0.95991,0.28131,0.34321,1.0441,0.0012971,0.0012971,0.0012971
73,166.574,0.43458,0.34516,1.29671,0.96327,0.96429,0.96905,0.96415,0.25421,0.37077,1.03555,0.0012872,0.0012872,0.0012872
74,168.931,0.37366,0.31812,1.28779,0.96267,0.96429,0.96992,0.96262,0.26882,0.37943,1.05946,0.0012773,0.0012773,0.0012773
75,171.324,0.37889,0.33007,1.2285,0.96323,0.96429,0.97027,0.96728,0.27062,0.3924,1.07398,0.0012674,0.0012674,0.0012674
76,173.709,0.3593,0.3012,1.20393,0.96331,0.96429,0.96942,0.96393,0.26401,0.3449,1.13783,0.0012575,0.0012575,0.0012575
77,176.064,0.39609,0.33571,1.23966,0.94761,1,0.9827,0.97268,0.27183,0.32558,1.13487,0.0012476,0.0012476,0.0012476
78,178.501,0.38334,0.33237,1.21581,0.96537,0.9956,0.9848,0.98288,0.26193,0.30428,1.09037,0.0012377,0.0012377,0.0012377
79,180.874,0.41214,0.3455,1.29698,0.96488,0.98119,0.97833,0.97699,0.25917,0.31854,1.06867,0.0012278,0.0012278,0.0012278
80,183.271,0.38286,0.31414,1.24428,0.96489,0.98152,0.97778,0.97644,0.2617,0.34072,1.07863,0.0012179,0.0012179,0.0012179
81,185.65,0.42422,0.34586,1.31055,0.96395,0.98214,0.97615,0.97364,0.25144,0.3313,1.06547,0.001208,0.001208,0.001208
82,188.013,0.36811,0.29889,1.20912,0.96489,0.98155,0.9759,0.97111,0.26429,0.34325,1.05696,0.0011981,0.0011981,0.0011981
83,190.379,0.39471,0.31481,1.201,0.96409,0.98214,0.97545,0.96917,0.27976,0.35106,1.08478,0.0011882,0.0011882,0.0011882
84,192.758,0.39268,0.32458,1.24289,0.96364,0.98214,0.97482,0.96288,0.28587,0.35154,1.13638,0.0011783,0.0011783,0.0011783
85,195.196,0.39246,0.3177,1.22786,0.96336,0.98214,0.97329,0.96906,0.28036,0.35288,1.17036,0.0011684,0.0011684,0.0011684
86,197.558,0.38228,0.3158,1.22152,0.96309,0.98214,0.97301,0.96633,0.27527,0.35311,1.19573,0.0011585,0.0011585,0.0011585
87,199.946,0.43331,0.35792,1.283,0.94713,0.98214,0.97283,0.96709,0.2396,0.31184,1.06757,0.0011486,0.0011486,0.0011486
88,202.328,0.43153,0.3405,1.27009,0.96329,0.98214,0.97392,0.97022,0.24269,0.30241,1.04674,0.0011387,0.0011387,0.0011387
89,204.709,0.38539,0.30774,1.22282,0.96483,0.97971,0.97448,0.96701,0.28078,0.30893,1.0252,0.0011288,0.0011288,0.0011288
90,207.051,0.3869,0.3176,1.23706,0.96482,0.97962,0.97488,0.96736,0.27752,0.32642,1.02808,0.0011189,0.0011189,0.0011189
